ASSET_NAME,TYPE,AMENITIES,Latitude,Longitude
YONGE BOULEVARD PARKETTE,Park,,43.7340888632129,-79.4048434886053
MEMORIAL GARDENS PARK,Park,,43.6912492756939,-79.3279247306623
LORING - WYLE PARKETTE,Park,,43.6906962691617,-79.3831759205187
LOGAN GREEN FIELD,Park,,43.6788766290789,-79.3493277023173
WEST LODGE PARK,Park,"Basketball Court, Playground, Skateboarding",43.6461035010024,-79.4379893570739
BEARE HILL PARK,Park,,43.8264719597787,-79.162430149732
NAIRN PARK,Park,"Outdoor Ping Pong/Table Tennis, Playground",43.684098770908,-79.4512605065141
WINCHESTER PARK,Park,Ball Diamond,43.66567119508,-79.3717946225942
BROADACRES PARK,Park,"Ball Diamond, Playground",43.647047542766,-79.5692599593572
OSLER PLAYGROUND,Park,"Dog Off-Leash Area, Playground",43.6460341700338,-79.4222447266431
BIRCHVIEW BOULEVARD PARKETTE,Park,,43.6474943351106,-79.5153046429738
EDWARDS GARDENS,Park,Washroom,43.7332304851634,-79.3602091741865
DUNDAS - ST.CLARENS PARKETTE,Park,Playground,43.6497946011204,-79.4387582291774
KINGSWAY GATE PARKETTE,Park,,43.650123136552,-79.4997929784968
CARSBROOKE PARK,Park,Playground,43.6471724579858,-79.5767397828366
GEARY AVENUE PARKETTE,Park,Playground,43.6707625474775,-79.4317435753571
OAK STREET PARKETTE,Park,,43.6612135061352,-79.3650834877019
