Name,Latitude,Longitude
Green Pharmacy,43.6646161,-79.4141167
Shoppers Drug Mart,43.7728212,-79.2511862
Shoppers Drug Mart,43.7060565,-79.3465823
Shoppers Drug Mart,43.7136197,-79.3348355
Fairview Pharmacy,43.7782794,-79.3479124
Shoppers Drug Mart,43.6568051,-79.3807008
Shoppers Drug Mart,43.7693093,-79.3857332
Shoppers Drug Mart,43.7372109,-79.3456392
Shoppers Drug Mart,43.6469942,-79.3791929
Shoppers Drug Mart,43.7684007,-79.4122828
Shoppers Drug Mart,43.670795,-79.3858923
Main Drug Mart,43.6678348,-79.3691943
Rexall,43.6660203,-79.3684761
Shoppers Drug Mart,43.6639589,-79.3676519
PharmaChoice,43.6552837,-79.3653874
Radiant Pharmacy,43.660333,-79.3823736
I.D.A.,43.6654831,-79.4115243
Main Drug Mart,43.7734449,-79.4420492
Shoppers Drug Mart,43.6630445,-79.5317333
Rexall,43.6019808,-79.5456039
Shoppers Drug Mart,43.6792629,-79.3422668
Shoppers Drug Mart,43.7451454,-79.3250283
Phil-way Pharmacy,43.7264448,-79.3126967
Pharmasave,43.7070491,-79.2696832
Food Basics,43.7841256,-79.2035926
Shoppers Drug Mart,43.6768318,-79.3569646
Shoppers Drug Mart,43.715183,-79.452334
Shoppers Drug Mart,43.7789534,-79.4159079
Shoppers Drug Mart,43.6957415,-79.4508704
I.D.A.,43.7371248,-79.4367567
Shoppers Drug Mart,43.7848113,-79.4461444
Guardian,43.697892,-79.3962831
I.D.A.,43.7468096,-79.199406
Meds Junction Pharmacy,43.66559,-79.4699454
Rexall,43.7330121,-79.4044708
Pharmamart,43.6515047,-79.3805592
Shoppers Drug Mart,43.7330733,-79.2676115
Main Drug Mart,43.6492467,-79.421656
The Medicine Shoppe,43.7700821,-79.3748531
Rexall,43.7071726,-79.3987002
Apex Compounding Pharmacy,43.7074398,-79.3958787
Shoppers Drug Mart,43.6893478,-79.3944036
Shoppers Drug Mart,43.6611728,-79.3403801
Pharmasave,43.7576656,-79.4091183
Guardian,43.7716651,-79.2093729
Shoppers Drug Mart,43.7253676,-79.2306912
Pharmasave,43.7376741,-79.2173068
Rexall,43.7805898,-79.4161656
Shoppers Drug Mart,43.7849377,-79.3098593
Shoppers Drug Mart,43.7362266,-79.4198709
Rexall,43.708589,-79.2486991
I.D.A.,43.7901327,-79.1743376
Remedy'sRx,43.6509097,-79.4779829
Shoppers Drug Mart,43.5943492,-79.5391569
Main Drug Mart,43.6890485,-79.2782119
Davenport Pharmacy,43.6747787,-79.3956164
Shoppers Drug Mart,43.708832,-79.3985216
Yonge Drug Mart,43.7101286,-79.3989111
Pharmasave,43.7570885,-79.439375
Peoples Drug Mart,43.7192148,-79.4288823
I.D.A.,43.7806,-79.4154489
Extra Care Pharmacy,43.7471324,-79.2850852
Food Basics,43.7460309,-79.2879377
Pace Pharmacy,43.667819,-79.3850022
Main Drug Mart,43.7474882,-79.2871885
Remedy'sRx,43.6632925,-79.3863346
Shoppers Drug Mart,43.7063795,-79.3896525
Shoppers Drug Mart,43.7606978,-79.3248873
Rexall,43.7646003,-79.3980471
Food Basics,43.7761811,-79.3248523
Victor Pharmacy,43.6557253,-79.3866293
Shoppers Drug Mart,43.7838799,-79.2895238
Main Drug Mart,43.7634814,-79.4895209
Shoppers Drug Mart,43.8093333,-79.223096
Shoppers Drug Mart,43.7357855,-79.5601285
Shoppers Drug Mart,43.6400223,-79.5380826
Shoppers Drug Mart,43.6624237,-79.5198235
Shoppers Drug Mart,43.7113193,-79.5650612
Shoppers Drug Mart,43.7409861,-79.5836454
Shoppers Drug Mart,43.7561397,-79.5157847
Shoppers Drug Mart,43.6555117,-79.5654416
Shoppers Drug Mart,43.7282607,-79.4807632
Rexall,43.6777981,-79.3583537
Rexall,43.6655689,-79.3811759
Pharmasave,43.7320291,-79.2674612
