Library_Name,Address,Latitude,Longitude
Sanderson,"327 Bathurst Street, Toronto, ON, M5T 1J1",43.65214,-79.40551
Sunnybrook Hospital,"2075 Bayview Avenue, Aging and Veterans Care, L Wing, Toronto, ON, M4N 3M5",43.72317,-79.37483
Scarborough Civic Centre,"156 Borough Drive, Toronto, ON, M1P 4N7",43.77237,-79.25704
St. Clair/Silverthorn,"1748 St. Clair Avenue West, Toronto, ON, M6N 1J3",43.67429,-79.46061
St. James Town,"495 Sherbourne Street, Toronto, ON, M4X 1K7",43.66749,-79.3744
St. Lawrence,"171 Front Street East, Toronto, ON, M5A 4H3",43.65012,-79.36832
Spadina Road,"10 Spadina Road, Toronto, ON, M5R 2S7",43.66767,-79.40462
Steeles,"Bamburgh Gardens Shopping Plaza, C107-375 Bamburgh Circle, Toronto, ON, M1W 3Y1",43.81555,-79.32243
Swansea Memorial,"95 Lavinia Avenue, Toronto, ON, M6S 3H9",43.64758,-79.47785
S. Walter Stewart,"170 Memorial Park Avenue, Toronto, ON, M4J 2K5",43.69217,-79.32972
Taylor Memorial,"1440 Kingston Road, Toronto, ON, M1N 1R3",43.68789,-79.2713
Thorncliffe,"48 Thorncliffe Park Drive, Toronto, ON, M4H 1J7",43.70297,-79.34252
Todmorden Room,"1081 1/2 Pape Ave (at Torrens), Toronto, ON, M4K 3W6",43.69163,-79.34943
Toronto Reference Library,"789 Yonge Street, Toronto, ON, M4W 2G8",43.67195,-79.38674
Victoria Village,"184 Sloane Avenue, Toronto, ON, M4A 2C4",43.73605,-79.31292
Weston,"2 King Street, Toronto, ON, M9N 1K9",43.70171,-79.52071
Woodview Park,"16 Bradstock Road, Toronto, ON, M9M 1M8",43.73977,-79.53836
Woodside Square,"Woodside Square Mall, 1571 Sandhurst Circle, Toronto, ON, M1V 1V2",43.8088,-79.27031
Wychwood,"1431 Bathurst Street, Toronto, ON, M5R 3J2",43.68222,-79.41755
Yorkville,"22 Yorkville Avenue, Toronto, ON, M4W 1L4",43.67192,-79.38864
York Woods,"1785 Finch Avenue West, Toronto, ON, M3N 1M6",43.75892,-79.50731
