price,list_price,sold_price,home_type,home_type_bucket,neighbourhood,latitude,longitude,bedrooms,bedrooms_plus,bathrooms,estimated_area_sqft
499000.0,499000.0,499000.0,CONDO,CONDO,The Beaches,43.6673714,-79.3110607,1,0,1,350.0
479900.0,479900.0,479900.0,CONDO,CONDO,Dovercourt-Wallace Emerson-Junction,43.6673538,-79.4420451,1,0,1,550.0
424900.0,424900.0,424900.0,CONDO,CONDO,Elms Old Rexdale,43.7229776,-79.5437331,2,0,1,950.0
419000.0,419000.0,419000.0,CONDO,CONDO,Thorncliffe Park,43.7039489,-79.3500357,1,1,1,850.0
475000.0,475000.0,475000.0,CONDO,CONDO,Bay Street Corridor,43.64931790000001,-79.3825714,1,0,1,350.0
438900.0,438900.0,438900.0,CONDO,CONDO,Mount Pleasant West,43.7101663,-79.3934897,1,1,1,550.0
499000.0,499000.0,499000.0,CONDO,CONDO,Waterfront Communities C1,43.6476915,-79.3933074,1,1,1,550.0
438800.0,438800.0,438800.0,CONDO,CONDO,Elms Old Rexdale,43.7220795,-79.5439469,3,0,2,1100.0
419000.0,419000.0,419000.0,CONDO,CONDO,Yorkdale Glen Park,43.7065068,-79.465492,3,0,1,750.0
449900.0,449900.0,449900.0,CONDO,CONDO,Dovercourt Wallace Emerson Junction,43.6650324,-79.447587,1,0,1,550.0
498800.0,498800.0,498800.0,CONDO,CONDO,Waterfront Communities The Island,43.6434094,-79.3923139,1,0,1,650.0
489000.0,489000.0,489000.0,CONDO,CONDO,Church-Yonge Corridor,43.6695417,-79.3837883,1,0,1,350.0
459203.0,459203.0,459203.0,CONDO,CONDO,Church-Yonge Corridor,43.65490810000001,-79.37468480000001,1,0,1,550.0
475000.0,475000.0,475000.0,CONDO,CONDO,Islington City Centre West,43.6217695,-79.5216744,1,1,1,650.0
439000.0,439000.0,439000.0,CONDO,CONDO,Church-Yonge Corridor,43.6574957,-79.3743712,1,0,1,550.0
409888.0,409888.0,409888.0,CONDO,CONDO,Church Yonge Corridor,43.6545231,-79.3791276,2,1,1,350.0
418900.0,418900.0,418900.0,CONDO,CONDO,Mount Pleasant West,43.704066,-79.39717069999999,1,0,1,350.0
489000.0,489000.0,489000.0,CONDO,CONDO,Yonge-St. Clair,43.6866172,-79.40068000000001,1,0,1,550.0
430000.0,430000.0,430000.0,CONDO,CONDO,South Riverdale,43.6623402,-79.3410964,1,0,1,350.0
495000.0,495000.0,495000.0,CONDO,CONDO,Bay Street Corridor,43.6548441,-79.3846797,1,1,1,650.0
499000.0,499000.0,499000.0,CONDO,CONDO,Bay Street Corridor,43.666815,-79.3875312,1,0,1,550.0
494900.0,494900.0,494900.0,CONDO,CONDO,Islington City Centre West,43.6448243,-79.5319897,1,1,1,850.0
449000.0,449000.0,449000.0,CONDO,CONDO,Waterfront Communities C1,43.6478311,-79.391115,1,0,1,350.0
449000.0,449000.0,449000.0,CONDO,CONDO,High Park North,43.655709,-79.4564077,1,1,1,650.0
463000.0,463000.0,463000.0,CONDO,CONDO,Yonge-St. Clair,43.6866172,-79.40068000000001,1,0,1,550.0
499000.0,499000.0,499000.0,CONDO,CONDO,Waterfront Communities C8,43.641973,-79.3735899,1,0,1,350.0
478000.0,478000.0,478000.0,CONDO,CONDO,Yonge-St. Clair,43.6866172,-79.40068000000001,1,0,1,550.0
499000.0,499000.0,499000.0,CONDO,CONDO,Waterfront Communities The Island,43.644634,-79.392936,1,0,1,750.0
490000.0,490000.0,490000.0,CONDO,CONDO,Niagara,43.6432744,-79.404727,1,1,1,650.0
438000.0,438000.0,438000.0,CONDO,CONDO,Moss Park,43.656969,-79.3741222,1,1,1,550.0
475000.0,475000.0,475000.0,CONDO,CONDO,Church-Yonge Corridor,43.6622431,-79.3792864,1,0,1,350.0
499900.0,499900.0,499900.0,CONDO,CONDO,Regent Park,43.6614865,-79.3584054,1,1,1,550.0
489000.0,489000.0,489000.0,CONDO,CONDO,Casa Loma,43.6828589,-79.4175994,1,0,1,550.0
489000.0,489000.0,489000.0,CONDO,CONDO,Bay Street Corridor,43.665819,-79.3856141,1,0,1,550.0
419000.0,419000.0,419000.0,CONDO,CONDO,South Riverdale,43.66513339999999,-79.3414981,1,0,1,350.0
499000.0,499000.0,499000.0,CONDO,CONDO,South Parkdale,43.6404251,-79.4246524,2,0,1,650.0
460000.0,460000.0,460000.0,CONDO,CONDO,Waterfront Communities C8,43.6460836,-79.3650117,1,0,1,550.0
499000.0,499000.0,499000.0,CONDO,CONDO,Yonge-Eglinton,43.7080568,-79.400489,1,0,1,550.0
499000.0,499000.0,499000.0,CONDO,CONDO,Church-Yonge Corridor,43.6659044,-79.3834934,1,1,1,750.0
448000.0,448000.0,448000.0,CONDO,CONDO,Niagara,43.6373148,-79.4029448,1,0,1,350.0
499000.0,499000.0,499000.0,CONDO,CONDO,Casa Loma,43.6830274,-79.4179185,1,0,1,550.0
409999.0,409999.0,409999.0,CONDO,CONDO,Dovercourt Wallace Emerson Junction,43.6650324,-79.447587,1,0,1,550.0
439000.0,439000.0,439000.0,CONDO,CONDO,Regent Park,43.6605932,-79.3593489,1,0,1,350.0
498000.0,498000.0,498000.0,CONDO,CONDO,Waterfront Communities The Island,43.6450088,-79.3912754,1,1,1,650.0
448800.0,448800.0,448800.0,CONDO,CONDO,Yonge-St. Clair,43.6866172,-79.40068000000001,1,0,1,550.0
415000.0,415000.0,415000.0,CONDO,CONDO,South Parkdale,43.6404251,-79.4246524,1,0,1,650.0
499900.0,499900.0,499900.0,CONDO,CONDO,Waterfront Communities C8,43.6505719,-79.3572672,1,1,1,550.0
495000.0,495000.0,495000.0,CONDO,CONDO,Moss Park,43.6543608,-79.36298029999999,1,1,1,650.0
480000.0,480000.0,480000.0,CONDO,CONDO,Waterfront Communities The Island,43.6427513,-79.3769186,1,0,1,550.0
499000.0,499000.0,499000.0,CONDO,CONDO,West Humber Clairville,43.7307208,-79.6108976,1,1,1,850.0
465000.0,465000.0,465000.0,CONDO,CONDO,Yonge-St. Clair,43.6866172,-79.40068000000001,1,0,1,550.0
429999.0,429999.0,429999.0,CONDO,CONDO,Niagara,43.6384117,-79.40091470000002,1,0,1,350.0
449500.0,449500.0,449500.0,CONDO,CONDO,Dovercourt Wallace Emerson Junction,43.6650324,-79.447587,1,0,1,550.0
428000.0,428000.0,428000.0,CONDO,CONDO,Church-Yonge Corridor,43.6655095,-79.3830247,1,0,1,350.0
499000.0,499000.0,499000.0,CONDO,CONDO,East End-Danforth,43.6867119,-79.3076241,1,1,1,550.0
479000.0,479000.0,479000.0,CONDO,CONDO,Junction Area,43.6709319,-79.4784085,1,0,1,350.0
439900.0,439900.0,439900.0,CONDO,CONDO,Dovercourt-Wallace Emerson-Junction,43.6663892,-79.4463153,1,0,1,550.0
449999.0,449999.0,449999.0,CONDO,CONDO,High Park-Swansea,43.63555299999999,-79.4680716,1,0,1,350.0
