NAME,ADDRESS_FULL,BOARD_NAME,SCHOOL_TYPE_DESC,Latitude,Longitude
UPPER CANADA COLLEGE SCHOOL,200 Lonsdale Rd,,Private,43.6919471679826,-79.4025227062066
UPPER CANADA PREP SCHOOL,220 Lonsdale Rd,,Private,43.6908372355295,-79.4043869723624
URSULA FRANKLIN ACADEMY,146 Glendonwynne Rd,Toronto District School Board,English Public,43.6567074123716,-79.4748206948471
UT PREPARATORY ACADEMY SECONDARY SCHOOL,205 Sparks Ave,,Private,43.8076738129061,-79.3409680425731
VALLEY PARK MDL SCHOOL ,130 Overlea Blvd,Toronto District School Board,English Public,43.7104405907514,-79.3358705226236
VALLEYFIELD JR SCHOOL ,35 Saskatoon Dr,Toronto District School Board,English Public,43.6942865155451,-79.5384444417594
VEDIC ROOTS,5818 Sheppard Ave E,,Private,43.7963433789847,-79.230216473974
VEGA ACADEMY,700 Lawrence Ave W,,Private,43.7169263331304,-79.4474308939363
VENERABLE JOHN MERLINI CATHOLIC ELEMENTARY SCHOOL,123 Whitfield Ave,Toronto Catholic District School Board,English Separate,43.7564805895832,-79.5793835598587
VICTORIA PARK COLLEGIATE INSTITUTE,15 Wallingford Rd,Toronto District School Board,English Public,43.7560593384022,-79.321464421707
VICTORIA PARK ELEMENTARY SCHOOL,145 Tiago Ave,Toronto District School Board,English Public,43.712689182329,-79.2981507568545
VICTORIA PARK LINC CENTRE ,2 Lansing Sq,Toronto Catholic District School Board,English Separate,43.774240118909,-79.3261021088407
VICTORIA STREET LINC,74 Victoria St,Toronto District School Board,English Public,43.6510597043384,-79.3776264775773
VICTORIA VILLAGE PUBLIC SCHOOL ,88 Sweeney Dr,Toronto District School Board,English Public,43.7359594203073,-79.3141820772089
VINCENT MASSEY ACADEMY,68 Daisy Ave,,Private,43.5978138841615,-79.5283399780079
VOICE INTEGRATIVE PRIVATE SCHOOL,50 Gristmill Lane,,Private,43.6500579960732,-79.3599052483689
VRADENBURG JR PUBLIC SCHOOL,50 Vradenberg Dr,Toronto District School Board,English Public,43.7743422576754,-79.3082862869645
WALDORF ACADEMY ELEMENTARY SCHOOL,250 Madison Ave,,Private,43.6772326912183,-79.407066924686
WALES COLLEGE SECONDARY SCHOOL,56 Redlea Ave,,Private,43.8231010142956,-79.3054195999763
WALTER PERRY JR PUBLIC SCHOOL ,45 Falmouth Ave,Toronto District School Board,English Public,43.7334561275574,-79.2512456866976
WARREN PARK JR PUBLIC SCHOOL,135 Varsity Rd,Toronto District School Board,English Public,43.6628427653687,-79.4994375141874
WEBTREE ACADEMY,220 Lesmill Rd,,Private,43.7613818770997,-79.3600183448541
WEDGEWOOD JR SCHOOL,5 Swan Ave,Toronto District School Board,English Public,43.6453169519903,-79.5462529112722
WELLESWORTH JR SCHOOL ,225 Wellesworth Dr,Toronto District School Board,English Public,43.6566373465707,-79.5767187454201
WEST END ALTERNATIVE SCHOOL ,777 Bloor St W,Toronto District School Board,English Public,43.6624299848934,-79.4198340161091
WEST GLEN JR SCHOOL,47 Cowley Ave,Toronto District School Board,English Public,43.6504713423926,-79.5608016240727
