Name,Cuisine,Latitude,Longitude
Bellwoods Brewery,international,43.6470326,-79.4201764
Camros Organic Eatery,organic,43.6694393,-79.3853812
Dreyfus,,43.662961,-79.4032669
Libra Lounge,,43.6455556,-79.3936659
Pancho y Emiliano,mexican,43.6463969,-79.3899333
King Street Social Kitchen Bar,,43.6463746,-79.3913481
The Daily Plate,,43.6463984,-79.3847523
Oasis Rooftop Lounge,,43.6453635,-79.3914881
Milagro Cantina Mexicana,mexican,43.6457176,-79.3896698
Freshii,salad,43.6609955,-79.3840148
Freshii,salad,43.6477075,-79.3964377
W Burger Bar,,43.6614167,-79.3836837
Fran's Restaurant,american,43.6613378,-79.3840301
Tosto,italian,43.6612358,-79.3862092
Shopsy's,,43.651038,-79.3826024
Estiatorio Volos,greek,43.650309,-79.3847104
Tundra Restaurant and Bar,,43.6500512,-79.3851523
Eden Trattoria,,43.6271571,-79.476928
Freshii,salad,43.6483644,-79.3854814
Ninki Japanese Cuisine,japanese,43.6496207,-79.3795292
Mio RistoBar,,43.6492772,-79.3794192
Piazza Manna Restaurant & Bar,,43.6410481,-79.3780462
Oyshi Sushi,sushi,43.6419574,-79.3758644
Turf Lounge,,43.6501179,-79.3810438
Mercatto Restaurant,,43.6501934,-79.3810748
Bluestone Grill & Bar,international,43.6508602,-79.3813438
Little Anthony's,,43.6502492,-79.3842989
Trattoria Mercatto,italian,43.6544334,-79.3810122
Touhenboku Ramen,japanese,43.6501898,-79.3891371
Limon,arab;mediterranean,43.669915,-79.3017138
Lahore Tikka House,indian,43.6714279,-79.324579
The Pearl of Asia,,43.7883705,-79.268361
Blanco Cantina,mexican,43.6662413,-79.4065258
El Pocho Antojitos Bar,,43.6695936,-79.4133628
Banjara Indian Cuisine,indian,43.6631513,-79.4219757
Actinolite Restaurant,,43.6678466,-79.4278983
El Tenedor Restaurant Bar,,43.6749514,-79.3885276
Freshii,salad,43.6662602,-79.406427
Pizzeria Libretto,pizza,43.6489274,-79.420443
Smoque N' Bones,barbecue,43.645709,-79.4107337
La Palma,italian,43.6513475,-79.4101178
O Patio Churrasqueira,portuguese;chicken,43.7015234,-79.4760695
Darosa,latin_american,43.7069054,-79.4529494
Sip Wine Bar,italian,43.709778,-79.3985383
Mehfill Indian Cuisine,indian,43.7144139,-79.4002194
Hutchie Catering & Caribbean Restaurant,,43.6833561,-79.3001385
Tiarré's Brunch & Bistro,,43.6700083,-79.3008153
Ichiban Sushi,sushi,43.6686919,-79.3068008
The Oxley,british,43.670519,-79.392956
Pizza Pide,pizza;turkish,43.6679746,-79.3405008
Latin World,mexican,43.6589263,-79.4406205
Lebanese Garden,lebanese,43.6572551,-79.40456
African Delight,,43.6595941,-79.4374358
African Palace,ethiopian,43.6611155,-79.4290265
Govinda's,indian;fusion;bengali,43.6769959,-79.3969184
Ola Restaurant,african,43.6982301,-79.5027738
Jasmin's Grill,,43.7073323,-79.5053149
Pizza Hut,pizza,43.6786396,-79.2985689
O&B Canteen,regional,43.6466596,-79.390013
Mi Ne Sushi Japanese Restaurant,sushi,43.640431,-79.3910006
Beast Pizza,,43.6440878,-79.405647
Last Resort Riverfront Bar & Grill,,40.4778137,-80.5985714
Liberty Village Market & Café,,43.6379706,-79.4212385
Dum Pukht,indian,43.7616449,-79.4092178
Dynasty Chinese Cuisine,chinese,43.6686315,-79.392987
Khazana by Khazana Mithai,bangladeshi,43.7328003,-79.2686963
Sea Town West Indian Restaurant,jamaican,43.732078,-79.2707616
Caribbean Splash,jamaican,43.7324133,-79.2692585
Chung Moi,chinese,43.7323889,-79.2693336
Manyaman Foods,filipino,43.7273427,-79.2656227
Tagpuan,filipino,43.7278025,-79.2654847
Morton's Grille,steak_house,43.6696327,-79.3948063
Ichiban Sushi,sushi,43.7943176,-79.4199192
Kinton Ramen,ramen,43.7073671,-79.3960657
Millwood Bread & Butter,,43.701585,-79.387192
Instant Du Palais,,43.7030482,-79.3878035
Shah’s Halal Food,,43.6499555,-79.3891828
Cora,breakfast,43.650121,-79.3706647
Paramount Middle Eastern Cuisine and Bakery,,43.6550597,-79.3801574
Kairali,indian,43.7548314,-79.2772691
Karaikudi Chettinad South Indian Restaurant,,43.7561086,-79.276094
Swiss Chalet,chicken,43.706978,-79.396493
Paul's Pizza,pizza,40.4660773,-80.6006484
Blue Claw Lobster Shack,,43.6681647,-79.3873253
Canadiana Restaurant and Banquet Hall,canadian,43.6405208,-79.538302
