price,list_price,sold_price,home_type,home_type_bucket,neighbourhood,latitude,longitude,bedrooms,bedrooms_plus,bathrooms,estimated_area_sqft,Distance_to_School,Distance_to_Hospital,Distance_to_Park,Distance_to_Library,Distance_to_Bank,Distance_to_Pharmacy,Distance_to_Grocery,Distance_to_Subway,Restaurants_Within_1km,Parks_Within_2km,Schools_Within_2km,_id,AREA_ID,AREA_ATTR_ID,PARENT_AREA_ID,AREA_SHORT_CODE,AREA_LONG_CODE,AREA_NAME,AREA_DESC,CLASSIFICATION,CLASSIFICATION_CODE,OBJECTID,Neighbourhood
1039000.0,1039000.0,1039000.0,HOUSE,HOUSE,Dovercourt Wallace Emerson Junction,43.6734508,-79.4372811,2,1,2,900.0,226.65,1811.05,329.11,571.64,688.46,535.62,716.49,1474.25,53,59,33,4,2502363,26022878,,171,171,Junction-Wallace Emerson,Junction-Wallace Emerson (171),Not an NIA or Emerging Neighbourhood,,17824785.0,Junction-Wallace Emerson
1089000.0,1089000.0,1089000.0,HOUSE,HOUSE,Blake Jones,43.6757814,-79.3381299,3,0,2,1750.0,200.06,1686.52,190.24,607.89,642.07,510.44,501.04,583.88,66,65,42,87,2502280,26022795,,69,69,Blake-Jones,Blake-Jones (69),Not an NIA or Emerging Neighbourhood,,17826113.0,Blake-Jones
1025000.0,1025000.0,1025000.0,HOUSE,HOUSE,Dovercourt Wallace Emerson Junction,43.6629148,-79.4368707,4,2,2,2250.0,174.61,2374.07,370.71,405.7,375.34,423.84,606.46,318.06,58,66,50,4,2502363,26022878,,171,171,Junction-Wallace Emerson,Junction-Wallace Emerson (171),Not an NIA or Emerging Neighbourhood,,17824785.0,Junction-Wallace Emerson
1150000.0,1150000.0,1150000.0,HOUSE,HOUSE,Greenwood Coxwell,43.6727633,-79.3278673,3,1,2,1300.0,404.59,1924.7,392.15,469.97,707.91,630.35,521.47,1106.27,29,61,33,91,2502276,26022791,,65,65,Greenwood-Coxwell,Greenwood-Coxwell (65),Not an NIA or Emerging Neighbourhood,,17826177.0,Greenwood-Coxwell
1150000.0,1150000.0,1150000.0,HOUSE,HOUSE,Corso Italia Davenport,43.6763058,-79.4540462,3,0,2,1300.0,394.72,2531.52,235.79,573.5,312.24,500.09,271.9,2115.58,40,53,38,65,2502302,26022817,,92,92,Corso Italia-Davenport,Corso Italia-Davenport (92),Not an NIA or Emerging Neighbourhood,,17825761.0,Corso Italia-Davenport
1160000.0,1160000.0,1160000.0,HOUSE,HOUSE,Dovercourt Wallace Emerson Junction,43.669806,-79.4271498,3,0,2,1300.0,320.5,1279.45,123.71,540.13,865.6,460.17,341.65,828.55,43,67,51,3,2502364,26022879,,172,172,Dovercourt Village,Dovercourt Village (172),Not an NIA or Emerging Neighbourhood,,17824769.0,Dovercourt Village
1149900.0,1149900.0,1149900.0,HOUSE,HOUSE,South Riverdale,43.6674181,-79.3269002,3,1,3,1300.0,420.14,2228.82,213.78,632.64,868.21,648.89,679.32,1705.3,50,59,31,86,2502281,26022796,,70,70,South Riverdale,South Riverdale (70),Not an NIA or Emerging Neighbourhood,,17826097.0,South Riverdale
1194000.0,1194000.0,1194000.0,HOUSE,HOUSE,East End Danforth,43.6752725,-79.3081058,3,0,3,1300.0,194.88,2119.11,542.22,963.78,750.86,589.82,729.55,1291.06,25,54,33,94,2502273,26022788,,62,62,East End-Danforth,East End-Danforth (62),Not an NIA or Emerging Neighbourhood,,17826225.0,East End-Danforth
1199000.0,1199000.0,1199000.0,HOUSE,HOUSE,East End Danforth,43.6797781,-79.3007835,3,1,2,1300.0,342.9,2246.5,238.24,417.64,910.24,798.06,274.23,1032.98,16,55,34,94,2502273,26022788,,62,62,East End-Danforth,East End-Danforth (62),Not an NIA or Emerging Neighbourhood,,17826225.0,East End-Danforth
1150000.0,1150000.0,1150000.0,HOUSE,HOUSE,East End Danforth,43.6911071,-79.2966879,4,0,3,1750.0,191.98,2274.35,144.99,884.43,178.05,189.39,245.73,456.77,24,57,32,94,2502273,26022788,,62,62,East End-Danforth,East End-Danforth (62),Not an NIA or Emerging Neighbourhood,,17826225.0,East End-Danforth
1168750.0,1168750.0,1168750.0,HOUSE,HOUSE,Weston Pellam Park,43.6768208,-79.4653786,3,1,3,1750.0,258.7,1856.19,40.54,475.68,607.31,517.13,486.86,2408.69,30,53,35,66,2502301,26022816,,91,91,Weston-Pelham Park,Weston-Pelham Park (91),Neighbourhood Improvement Area,NIA,17825777.0,Weston-Pelham Park
